PERIODID,NSW,QLD,SA,TAS,VIC,,,,,,
25,11.1,,,,,,,,,,
26,14.62,,,,,,,,,,
27,16.17,,,,,,,,,,
28,22.26,,,,,,,,,,
29,30.67,,,,,,,,,,
30,69.93,,,,,,,,,,
31,70.84,,,,,,,,,,
32,94.4,,,,,,,,,,
33,125.52,,,,,,,,,,
34,160.02,,,,,,,,,,
35,211.3,,,,,,,,,,
36,240.05,,,,,,,,,,
37,175.44,,,,,,,,,,
38,143.98,,,,,,,,,,
39,114.94,,,,,,,,,,
40,134.65,,,,,,,,,,
41,116.83,,,,,,,,,,
42,107.84,,,,,,,,,,
43,93.15,,,,,,,,,,
44,90.61,,,,,,,,,,
45,96.77,,,,,,,,,,
46,96.3,,,,,,,,,,
47,101.18,,,,,,,,,,
48,89.85,,,,,,,,,,
1,68.51,,,,,,,,,,
2,64.88,,,,,,,,,,
3,45.55,,,,,,,,,,
4,47.54,,,,,,,,,,
5,36.7,,,,,,,,,,
6,37.09,,,,,,,,,,
7,35.34,,,,,,,,,,
8,29.74,,,,,,,,,,
9,22.59,,,,,,,,,,
10,9.7,,,,,,,,,,
11,15.34,,,,,,,,,,
12,29.48,,,,,,,,,,
13,33.69,,,,,,,,,,
14,51.49,,,,,,,,,,
15,48.09,,,,,,,,,,
16,73.65,,,,,,,,,,
17,61.96,,,,,,,,,,
18,20.35,,,,,,,,,,
19,15.81,,,,,,,,,,
20,-11.51,,,,,,,,,,
21,4.17,,,,,,,,,,
22,-25.08,,,,,,,,,,
23,-17.79,,,,,,,,,,
24,-18.3,,,,,,,,,,
25,-22.71,,,,,,,,,,
26,-25.2,,,,,,,,,,
27,-20.65,,,,,,,,,,
28,-22.49,,,,,,,,,,
29,-10.34,,,,,,,,,,
30,4.43,,,,,,,,,,
31,25.85,,,,,,,,,,
32,47.03,,,,,,,,,,
33,86.15,,,,,,,,,,
34,112.62,,,,,,,,,,
35,128.25,,,,,,,,,,
36,138.89,,,,,,,,,,
37,122.75,,,,,,,,,,
38,90.18,,,,,,,,,,
39,74.37,,,,,,,,,,
40,75.74,,,,,,,,,,
41,80.67,,,,,,,,,,
42,77.05,,,,,,,,,,
43,56.74,,,,,,,,,,
44,48.23,,,,,,,,,,
45,34.23,,,,,,,,,,
46,22.53,,,,,,,,,,
47,21.68,,,,,,,,,,
48,26.36,,,,,,,,,,
1,28.68,,,,,,,,,,
2,30.22,,,,,,,,,,
3,28.14,,,,,,,,,,
4,20.39,,,,,,,,,,
5,13.28,,,,,,,,,,
6,9.19,,,,,,,,,,
7,12.88,,,,,,,,,,
8,11.98,,,,,,,,,,
9,13.21,,,,,,,,,,
10,12.46,,,,,,,,,,
11,11.34,,,,,,,,,,
12,16.77,,,,,,,,,,
13,21.98,,,,,,,,,,
14,20.54,,,,,,,,,,
15,19.74,,,,,,,,,,
16,30.93,,,,,,,,,,
17,37.79,,,,,,,,,,
18,37.64,,,,,,,,,,
19,25.51,,,,,,,,,,
20,23.35,,,,,,,,,,
21,12.04,,,,,,,,,,
22,18.79,,,,,,,,,,
23,9.37,,,,,,,,,,
24,12.23,,,,,,,,,,
25,10.16,,,,,,,,,,
26,6.89,,,,,,,,,,
27,8.15,,,,,,,,,,
28,9.13,,,,,,,,,,
29,16.05,,,,,,,,,,
30,24.86,,,,,,,,,,
31,26.06,,,,,,,,,,
32,41.04,,,,,,,,,,
33,53.4,,,,,,,,,,
34,56.75,,,,,,,,,,
35,54.52,,,,,,,,,,
36,51.19,,,,,,,,,,
37,49.38,,,,,,,,,,
38,43.3,,,,,,,,,,
39,45.36,,,,,,,,,,
40,47.01,,,,,,,,,,
41,46.1,,,,,,,,,,
42,41.53,,,,,,,,,,
43,36.28,,,,,,,,,,
44,33.83,,,,,,,,,,
45,31.63,,,,,,,,,,
46,30.32,,,,,,,,,,
47,24.44,,,,,,,,,,
48,22.71,,,,,,,,,,
1,34.39,,,,,,,,,,
2,31.6,,,,,,,,,,
3,26.72,,,,,,,,,,
4,16.33,,,,,,,,,,
5,9.44,,,,,,,,,,
6,7.74,,,,,,,,,,
7,4.01,,,,,,,,,,
8,3.72,,,,,,,,,,
9,3.06,,,,,,,,,,
10,1.6,,,,,,,,,,
11,2.67,,,,,,,,,,
12,12.51,,,,,,,,,,
13,20.28,,,,,,,,,,
14,26.16,,,,,,,,,,
15,21.63,,,,,,,,,,
16,34.59,,,,,,,,,,
17,35.42,,,,,,,,,,
